ang áng
áng chừng
ắt
ân cần
âu
ẩu
ba láp
bách bộ
bãi bồi
bám riết
bạt mạng
bát ngát
bay
băng
bằng
bâng quơ
bập bềnh
bất công
bất đắc dĩ
bất kỳ
bất thình lình
bây bẩy
bây giờ
bấy lâu
bèn
biến
biện
bó gối
bon bon
bồng bột
bông lông
bỗng nhiên
bộp chộp
cả gan
cà lăm
cả thảy
can chi
canh cánh
cạnh khóe
căm căm
cặn kẽ
cần
cẩn mật
cật lực
chả
chan chứa
chang chang
chanh chua
chắc chắn
chăm chắm
chằm chằm
chẳng
chẳng hạn
chẳng may
chẳng thà
chậm
chập chững
chễm chệ
chí
chí chết
chí chóe
chí lý
chí mạng
chính xác
chịt
cho
cho đã
chóng
chòng chọc
chót vót
chốc nữa
chổng gọng
chồng ngồng
chớ
chớp
chợt
chu đáo
chủ ý
chủ yếu
chúa
chùn chụt
chút nữa
chừ
chưa
có lẽ
có thể
có thể gọi là
có vẻ
cóc cần
coi như
còn nữa
cố tình
cố ý
cồng kềnh
công khai
cỡ chừng
cởi mở
cùng
cũng
cùng tận
cuội
cuống
cứ
cực
dăng dẳng
dần dần
dè
dĩ nhiên
diễn biến
diện tiền
dìu dặt
dọc đường
dông dài
duy
dựa trên
dửng dưng
dường
dường nào
dường như
đại khái
đáng lẽ
đáng lý
đáo để
đặng
đâu
đến
đi
đích thân
điếu
định rõ
đổ đốn
đôi khi
đồng thời
đột ngột
đỡ
đời nào
đủ
đụ má
đứt
ẽo ẹt
êm giấc
ềnh
gay go
gằm
gắt gao
gần đây
gần tới
gấp bội
gấp rút
gẫu
ghẻ lạnh
ghê
gia chi dĩ
giám
giản dị
giấm giúi
giẹo
gióng một
giờ đây
giừ
giữa
gọi là
gọn
gọn lỏn
gọn thon lỏn
gục
gượng nhẹ
hà tất
hài hòa
hai lòng
hàng
hàng đầu
hàng ngày
hao phí
hãy
hay không
hay làm
hằng
hăng hăng
hằng ngày
hắt hiu
hấp tấp
hầu
hầu hết
hậu hĩ
hết
hết lòng
hết sức
hiện
hiền dịu
họa
hoắc
hỏm
hồ
hộc máu
hồi hộ
hồi hộp
hôm kia
hôm nay
hôm qua
hỗn
hổn hà hổn hển
hỗn hào
hổn hển
hổng hểnh
hốt hoảng
hốt nhiên
hớ
hơi hơi
hời hợt
hớt hải
hớt hơ hớt hải
hung
húng hắng
hùng hục
húp híp
hụt
huyên thiên
huỳnh huỵch
hừng hực
ì
ịch
im phăng phắc
inh
ĩnh
ít nhất
ít nhiều
ít nữa
kẽ nách
kèo kẹo
kề cà
kế đến
kể ra
kềnh càng
khả
khải
khai mù
kham khổ
khảnh
khăm
khắm lặm
khăng khăng
kheo khéo
khét mù
khệ nệ
khểnh
khi không
khi nào
khiển
khoảng chừng
khốc hại
khôn
khốn đốn
khốn kiếp
khôn xiết
không
không bao giờ
không chừng
không hề
không thể
khụ
khúc khích
khuếch
khư khư
khừ khừ
kì
kiên nhẫn
kiệt
kín
kìn kìn
kinh khiếp
kịp
kíp chầy
kịt
kỹ
kỳ cùng
là
lạ
lại bữa
lai nhai
lạm
làm gì
làm lợi
làm nhàm
làm sao
làm vầy
làm vậy
làm vì
lảnh
làu
lay lắt
lặc lè
lắm
lăn lóc
lăn tăn
lần
lẫn
lần lần
lần lượt
lập cập
lập tức
lầu lầu
lẻ
lẽ ra
lè xè
lẹm
lem lém
leo lẻo
lép bép
lệ khệ
lên cao
lếu
lịa
liền
liền tay
líu la líu lô
líu lô
lọ
loáng
lóc cóc
lòe
lọi
lỏm
lòng vòng
lổ
lỗ
lố
lỗ vốn
lộn
lỡ
lơi
lu bù
lũ lượt
lụi
lúi húi
lui lủi
lủn củn
lún phún
lung
lung tung
luôn
luôn luôn
luống những
lừ lừ
lữa
lừng
lửng
lướt thướt
mà thôi
mải
mãi
mai mốt
mai sau
màn màn
mãn ý
mảng
mau mắn
may ra
may sao
mặc kệ
mặc nhiên
măng sữa
mần răng
mèm
mém
méo xệch
miên man
miệng
minh bạch
mịt mờ
mịt mù
mịt mùng
mỏi nhừ
mọi nơi
móm mém
mòn
mon men
mô
một cách thực tế
một thể
mở hàng
mới đây
mới hay
mới rồi
mớm
muộn
muôn dặm
muộn màng
muôn một
múp míp
mựa
nào
náo
nào đâu
này
nãy giờ
năm năm
năng
nặng lòng
nặng nề
nắng ráo
nặng trĩu
Bản mẫu:new vie adv
nên
ngả ngốn
ngang phè
ngát
ngạt
ngay
ngay cả
ngày kia
ngay lập tức
ngày nay
ngay ngắn
ngày tháng
ngăm ngăm
ngắn hủn
ngắn ngủn
ngặt ngõng
ngần nào
ngất
ngầu
ngẫu
ngấu
ngậu
ngẫu nhiên
ngậy
nghe đâu
nghênh ngang
nghễu
nghiêm
nghiêm minh
nghiễm nhiên
nghìn dặm
nghịt
ngoạch
ngoem ngoém
ngon
ngon ơ
ngon xơi
ngọt sắc
ngộ
ngồng
ngông nghênh
ngớ
ngụ
ngủm
nguội lạnh
nguyên
ngược
ngược lại
nhá nhem
nhanh nhẹn
nháo
nhạt
nhảy vọt
nhặm lẹ
nhăng
nhằng
nhẳng
nhằng nhằng
nhẫn nại
nhần nhận
nhân thể
nhân tiện
nhất đán
nhất định
nhất nhất
nhất quyết
nhất tề
nhây
nhẹ
nhẹ bồng
nhẹ nhàng
nhếu nháo
nhiệm
nhiên hậu
nhiệt liệt
nhiều nhặn
nhịu
nhoáng
nhoáy
nhõn
nhọn hoắt
nhổm
nhồm nhàm
nhộn nhịp
nhỡ
nhớt nhợt
nhuế nhóa
như nhau
như thế
như vậy
những
những là
nhường
nói chung
nói riêng
nội thành
nôn nao
nốt
nỡ
nơi nơi
nục
núc nác
nục nạc
nữa
nứt mắt
oách
oang
oang oang
ọe
ỏi
òm ọp
óng
õng ẹo
òng ọc
ốm nhom
ồn
ồn ào
ờ
ở đời
ỡm ờ
phải biết
phải cách
phải chăng
phải đũa
phải rồi
phảng phất
phăm phăm
phăn phắt
phăng
phắt
phập
phè
phè phỡn
phếch
phệt
phí
phi mã
phịch
phiên phiến
phỏng chừng
phong phanh
phót
phốc
phốp
phơ
phớt
phú hậu
phung phúng
phụt
phứa
phượu
quả
quá
quá độ
quả là
qua ngày
quá sức
quả tang
quả thực
quách
quái
quanh năm
quanh quẩn
quấy quá
quỷ thần ơi
quyết nhiên
quýnh
rạc cẳng
rành rọt
rão
rặt
rậm rì
rầm rộ
rấn
rất
rất là
rất mực
rè rè
rề rề
rệu
ri
rinh
rịt
ríu ra ríu rít
ríu rít
ròng rã
rộ
rỗ hoa
rồi
rối ra rối rít
rộng
rốt cuộc
rởm
rợp
rù
rũ rượi
rục rịch
rụi
rùm beng
ruỗng
rứa
rực
rực rỡ
rừng rực
rượn
rứt ruột
sá
sá chi
sa đà
sá gì
sá quản
sạch trơn
sán
sảng
sạt
sát nút
sát sạt
sau
sau đây
sau này
sặc gạch
sặc máu
sặm
sắp
sắp sửa
sắp tới
sầm
sấn sổ
sấp
sập sùi
sất
sâu thẳm
sẽ hay
sè sè
sẻn
sệ nệ
sệt
sì
sỉ
sì sụp
sòng phẳng
sòng sọc
song song
sồ
sỗ
sồn sột
sống nhăn
sốt
sột soạt
sốt vó
sơ qua
sơ sài
sớm
sớm mai
sớm muộn
sớm sủa
sụ
sùi sụt
sũng
sùng sục
suốt đời
suýt
sực
sững
sừng sững
sưng vù
tại sao
tạm được
tạm ổn
tàm tạm
tản
tàn tàn
tắt
tận tình
te
tem tép
tệ
tênh
tếu
thà
tha hồ
thảng hoặc
thành khẩn
thành thử
thào
thau tháu
thảy
thay lảy
thậm
thậm chí
thấm thoắt
thân chinh
thần hiệu
thập thành
thật
thật sự
thâu
thây kệ
thể nào
thế tất
thếch
thí dụ
thì phải
thiểm độc
thiệt
thinh
thình lình
thỉnh thoảng
tho
thỏa thích
thoáng
thoạt
thoạt tiên
thoắng
thoắt
thỏm
thòm thèm
thong thả
thót
thốc
thộc
thôi thôi
thốn
thông tầm
thời xưa
thũng thịu
thừ
thư thư
thực sự
thường
thường khi
thường ngày
thường thường
thượt
tí nữa
tỉ tê
tía lia
tiếng rằng
tinh
tịnh
tình thật
tịnh vô
tít
to xù
toang
toen hoẻn
tõm
tóp
tọp
tót
tọt
tồ tồ
tội gì
tốt
tơ lơ mơ
tởm
tớp
trái cựa
tràn lan
trắng bong
trăng trắng
trật trưỡng
trém
tréo
trẹo
trẹt lét
trệch
trên
trên dưới
triến
triệt để
trịt
trọi
tròm trèm
tróm trém
trong
trong khi
trọng vọng
trối kệ
trối thây
trông chừng
trống hốc
trở đi
trơ trơ
trở xuống
trợt lớt
trụm
trung bình
trùng ngũ
truồng
trừ bữa
trực tuyến
trước đây
trước hết
trước khi
trước mắt
trước sau
